<OOV> 1.0	OOV
چھوٹ 1.0	T_SH UU TT
اد 1.0	A D_D
چاڈوک 1.0	T_SH AA DD UU K
حرمت 1.0	H A R M A T_D
نیپالی 1.0	N AY P AA L II
کردیں 1.0	K U R D_D AYN
جرمانے 1.0	D_ZZ U R M AA N AY
تسکین 1.0	T_D A S K II N
سٹرائیک 1.0	S A TT R AA II K
ایکصفرصفر 1.0	AE K S A F A R S A F A R
ژاؤ 1.0	ZZ AA OO
کشیدگی 1.0	K A SH II D_D A G II
ٹیلسٹار 1.0	TT AE L S TT AA R
تریویندر 1.0	T_D A R J UU J A N D_D A R
جرمانہ 1.0	D_ZZ U R M AA N AA
غزنوی 1.0	7 A Z N A V II
قلندروں 1.0	Q A L A N D_D A R OON
نائیڈو 1.0	N AA II DD OO
مارڈن 1.0	M AA R DD A N
ارمینیائی 1.0	A R M II N I J AA II
ہیومینٹیرین 1.0	H I J UU M AE N TT AY R I J A N
گرانٹ 1.0	G A R AA N TT
ہزارہ 1.0	H A Z AA R AA
اسحاق 1.0	I S H AA Q
کردیے 1.0	K U R D_D II AY
شریعہ 1.0	SH A R II AA
اوچھی 1.0	OO T_SH II
مدقوق 1.0	M A D_D Q UU Q
ایلیسن 1.0	AE L II S A N
لیورج 1.0	L II V A R D_ZZ
ظہرانے 1.0	Z O_O_H H R AA N AY
یہیں 1.0	J A H AYN
ہلز 1.0	H I L Z
قائل 1.0	Q AA I L
لیڈروں 1.0	L II DD A R OON
طارق 1.0	T_D AA R I Q
تلوے 1.0	T_D A L V AY
دتا 1.0	D_D A T_D T_D AA
پشتوں 1.0	P U SH T_D OON
سیکیولر 1.0	S II K J UU L A R
مقبول 1.0	M A Q B UU L
ریمانڈ 1.0	R II M AA N DD
پارلیمنٹ 1.0	P AA R L II M A N TT
پھٹک 1.0	P_H A TT A K
بوالے 1.0	B A V AA L AY
ونفری 1.0	V A N F A R II
گیندیں 1.0	G AY N D_D AYN
پیکر 1.0	P AE K A R
ڈکسٹر 1.0	DD I K S TT A R
پنڈی 1.0	P I N DD II
صنعتی 1.0	S A N A T_D II
او 1.0	O
بھرکم 1.0	B_H A R K A M
دیانتداری 1.0	D_D I J AA N T_D D_D AA R II
ڈھاکہ 1.0	DD_H AA K AA
ٹھہرائے 1.0	TT_H A H R AA AY
حلال 1.0	H A L L AA L
حلاف 1.0	H A L L AA F
تحت 1.0	T_D A H T_D
پرچموں 1.0	P A R T_SH A M OON
آداب 1.0	AA D_D AA B
بریکنگ 1.0	B A R AE K I NG
طنزیہ 1.0	T_D A N Z I J AA
اچھوتی 1.0	A T_SH UU T_D II
بہرطور 1.0	B A_E_H H A R T_D UU R
موناسٹری 1.0	M OO N AA S TT A R II
میزائلوں 1.0	M II Z AA I L OON
اجنبی 1.0	A D_ZZ N A B II
بنیاد 1.0	B A N J AA D_D
جیکلن 1.0	D_ZZ AE K L A N
صفحات 1.0	S A F H AA T_D
منڈوا 1.0	M U N DD V AA
ڈشز 1.0	DD I SH I Z
کچی 1.0	K U T_SH T_SH II
خبردار 1.0	X A B A R D_D AA R
خجالت 1.0	X I D_ZZ AA L A T_D
متصادم 1.0	M U T_D A S AA D_D I M
وصل 1.0	V A S L
اکبر 1.0	A K B A R
باسکٹ 1.0	B AA S K A TT
حیا 1.0	H A J AA
جھنجھنوالا 1.0	D_ZZ_H A N D_ZZ_H A N V AA L AA
تلی 1.0	T_D A L II
پہنچانے 1.0	P A_E_H H N T_SH AA N AY
حیض 1.0	H AE Z
گوبی 1.0	G OO B II
نیبینزیا 1.0	N AE B AE N I Z I J AA
سکاٹ 1.0	S A K AA TT
آئنی 1.0	AA I N II
جائز 1.0	D_ZZ AA I Z
کچک 1.0	K U T_SH U K
مندرجات 1.0	M U N D_D A R D_ZZ AA T_D
علینا 1.0	A L II N AA
جینادرو 1.0	D_ZZ II N AA D_D R OO
لنکاشائر 1.0	L A N K AA SH AA I R
رگڑ 1.0	R A G A RR
چارنو 1.0	T_SH AA R A N OO
گینڈوں 1.0	G AE N DD OON
ایریزونا 1.0	AE R AY Z OO N AA
خاک 1.0	X AA K
مرادآباد 1.0	M U R AA D_D A B AA D_D
سلیکٹ 1.0	S I L AE K TT
لٹاؤ 1.0	L U TT AA OO
بھرکس 1.0	B_H A R A K S
بھٹیاں 1.0	B_H A TT TT I J AAN
سمبھتا 1.0	S A M B_H A T_D AA
یوسفزئی 1.0	J UU S F A Z A II
خال 1.0	X AA L
کشمکش 1.0	K A SH M A K A SH
تقوی 1.0	T_D A Q V AA
جاموا 1.0	D_ZZ AA M V AA
منیجمنٹ 1.0	M A N AY D_ZZ M A N TT
سجاول 1.0	S A D_ZZ AA V A L
مرادنہ 1.0	M U R AA D_D A N AA
سیموا 1.0	S II M V AA
دیانت 1.0	D_D I J AA N A T_D
ذمے 1.0	Z I M M AY
پاؤلو 1.0	P AA UU L OO
سرسوں 1.0	S A R S OON
پرمال 1.0	P A R M AA L
پہنچانا 1.0	P A_E_H H N T_SH AA N AA
رجحانات 1.0	R U D_ZZ H AA N AA T_D
استطاعت 1.0	I S T_D I T_D AA A T_D
تومانگنے 1.0	T_D OO M AA NG G AY N AY
سٹرکوں 1.0	S A TT R A K OON
مارکوس 1.0	M AA R K UU S
جلدوں 1.0	D_ZZ I L D_D OON
کچن 1.0	K U T_SH A N
ٹوتھ 1.0	TT UU T_D_H
سرحدی 1.0	S A R H A D_D II
زوہیب 1.0	Z OO H II B
ونرز 1.0	V I N A R Z
الضیا 1.0	A L Z I J AA
قصے 1.0	Q I S S AY
جعے 1.0	D_ZZ AA AY
انٹیلی 1.0	A N TT AY L II
نیلام 1.0	N II L AA M
سیاسدانوں 1.0	S A J AA S D_D AA N OON
ہندوازم 1.0	H I N D_D OO I Z M
ہانیہ 1.0	H AA N I J AA
کچا 1.0	K U T_SH T_SH AA
دھکیل 1.0	D_D_H A K AY L
قصہ 1.0	Q I S S AA
پیالہ 1.0	P I J AA L AA
منتوں 1.0	M A N N A T_D OON
فرنچائزز 1.0	F A R A N T_SH AA I Z Z
مجبورا 1.0	M A D_ZZ B UU R AA
تجاوزات 1.0	T_D A D_ZZ AA V U Z AA T_D
ملےگی 1.0	M A L L AY G II
تعمیراتی 1.0	T_D AA M II R AA T_D II
ویوین 1.0	V AE V II N
خار 1.0	X AA R
اچھوتا 1.0	A T_SH UU T_D AA
پروڈیوسر 1.0	P A R OO DD I J UU S A R
حسیناؤں 1.0	H A S II N AA OON
فرٹیلائز 1.0	F A R TT II L AA I Z
وٹس 1.0	V I TT S
بوجھل 1.0	B UU D_ZZ_H A L
سکرینوں 1.0	S I K R II N OON
نرموہی 1.0	N I R M UU H II
بصری 1.0	B A S R II
پڑھانے 1.0	P A RR_H AA N AY
جمہوریتوں 1.0	D_ZZ A M H UU R II J A T_D OON
خدمت 1.0	X I D_D M A T_D
آویزش 1.0	AA V AY Z I SH
کارڈیشیئنز 1.0	K AA R DD II SH II A N Z
اندازا 1.0	A N D_D AA Z AA
میکسویل 1.0	M AE K S A V II L
کنڈوم 1.0	K A N DD UU M
کاملہ 1.0	K AA M I L AA
منکر 1.0	M U N K A R
کھٹکھٹنے 1.0	K_H A TT A K_H A TT N AY
مشکلات 1.0	M U SH K A L AA T_D
منڈی 1.0	M U N DD II
دھر 1.0	D_D_H A R
چنے 1.0	T_SH A N AY
کرائیمیا 1.0	K A R AA II M I J AA
دھت 1.0	D_D_H A T_D
ابا 1.0	A B AA
کپڑوں 1.0	K A P RR OON
بائیک 1.0	B AA II K
بپتسمہ 1.0	B A P T_D A S M AA
لکھنا 1.0	L I K_H N AA
لکھنؤ 1.0	L I K_H A N OO
اسدی 1.0	A S D_D II
کربرے 1.0	K A R B A R AY
تعبیر 1.0	T_D A B II R
چیتوں 1.0	T_SH II T_D OON
اپالو 1.0	A P AA L OO
تنظیمون 1.0	T_D A N Z II M UU N
کیمرا 1.0	K AE M R AA
فائربند 1.0	F AA I R B A N D_D
شاہیم 1.0	SH AA H II M
جمائمہ 1.0	D_ZZ A M AA I M AA
جماعتوں 1.0	D_ZZ A M AA A T_D OON
لیئسٹر 1.0	L II I S TT A R
دھن 1.0	D_D_H A N
ارے 1.0	A R AY
درگاہوں 1.0	D_D A R G AA H OON
دھم 1.0	D_D_H A M
کریڈیٹ 1.0	K A R AE DD AY TT
ہلکے 1.0	H A L K AY
سشما 1.0	S A SH M AA
کیمیائی 1.0	K AE M J AA II
گتھیوں 1.0	G U T_D T_D_H II OON
اعلی 1.0	AA L II
انواریت 1.0	I N V AA R I J A T_D
چوٹی 1.0	T_SH OO TT II
خلاصہ 1.0	X A L L AA S AA
فیزیو 1.0	F II Z II OO
دانستہ 1.0	D_D AA N I S T_D AA
المناک 1.0	A L A M N AA K
انٹولڈ 1.0	I N TT OO L DD
خیفہ 1.0	X AE F AA
خلاصی 1.0	X A L L AA S II
ترسیل 1.0	T_D A R S II L
معزور 1.0	M AA Z UU R
کارواں 1.0	K AA R A V AAN
دھڑ 1.0	D_D_H A RR
رائفل 1.0	R AA I F A L
پسینہ 1.0	P A S II N AA
تڑپتے 1.0	T_D A RR A P T_D AY
حمیمیم 1.0	H A M II M II M
ہلکا 1.0	H A L K AA
جگری 1.0	D_ZZ I G R II
نخواستہ 1.0	N A X V AA S T_D AA
رویو 1.0	R U V II V
ووٹروں 1.0	V OO TT R OON
نکالے 1.0	N I K AA L AY
ارد 1.0	A R D_D
پہیے 1.0	P A H J AY
فضائی 1.0	F I Z AA II
کیمرے 1.0	K AE M R AY
کچلنا 1.0	K U T_SH A L N AA
عصر 1.0	A S R
تکلیف 1.0	T_D A K L II F
مینار 1.0	M II N AA R
تنظیموں 1.0	T_D A N Z II M OON
پہیہ 1.0	P A H I J J AA
دیشی 1.0	D_D AY SH II
کولٹرین 1.0	K OO L TT A R II N
کیمرہ 1.0	K AE M R AA
ارض 1.0	A R Z
پولنگ 1.0	P OO L I NG
انگلینڈ 1.0	I NG L AE N DD
پرات 1.0	P A R AA T_D
آید 1.0	AA D_D I D_D
سوجھا 1.0	S UU D_ZZ_H AA
ریگولیٹری 1.0	R AE G UU L AY TT R II
باڑیں 1.0	B AA RR AYN
ارم 1.0	A R A M
ارل 1.0	A R A L
مومٹزس 1.0	M OO M I TT Z I S
شاہدرہ 1.0	SH AA H D_D I R AA
آرایشی 1.0	AA R AA SH II
ایشویریہ 1.0	AY SH V II R I J AA
مزاحیہ 1.0	M U Z AA H I J AA
چنا 1.0	T_SH U N AA
سکینڈلز 1.0	S A K AE N DD A L Z
ساحلوں 1.0	S AA H I L OON
اکاونٹ 1.0	A K AA V A N TT
سٹرائک 1.0	S A TT R AA I K
کیمرن 1.0	K AE M R A N
اندازے 1.0	A N D_D AA Z AY
نیمو 1.0	N II M OO
لائٹس 1.0	L AA I TT S
محکمے 1.0	M U H K A M AY
اندازہ 1.0	A N D_D AA Z AA
لانڈھی 1.0	L AA N DD_H II
ملتوی 1.0	M U L T_D A V II
شاہکار 1.0	SH AA H K AA R
ووکٹ 1.0	V OO K A TT
پڑھانا 1.0	P A RR_H AA N AA
اٹھنا 1.0	U TT_H N AA
محکمہ 1.0	M U H K A M AA
اندازی 1.0	A N D_D AA Z II
گونجتی 1.0	G UU N D_ZZ T_D II
بٹ 1.0	B A TT
سائن 1.0	S AA I N
خطیب 1.0	X A T_D II B
بریتھ 1.0	B A R II T_D_H
مہینہ 1.0	M A H II N AA
شادیاں 1.0	SH AA D_D I J AAN
ٹروفک 1.0	TT A R OO F I K
فرما 1.0	F A R M AA
توں 1.0	T_D UUN
سیٹ 1.0	S II TT
جول 1.0	D_ZZ OO L
ناگہانی 1.0	N AA G A H AA N II
سراب 1.0	S A R AA B
مسکراتے 1.0	M U S K U R AA T_D AY
توپوں 1.0	T_D OO P OON
پندرہصفرصفر 1.0	P A P A N D_D A R F A R S A F A R
ٹیسٹ 1.0	TT AE S TT
توڑ 1.0	T_D OO RR
اتارتے 1.0	U T_D AA R T_D AY
بوسٹن 1.0	B OO S TT A N
مسکراتی 1.0	M U S K U R AA T_D II
لیتھی 1.0	L AY T_D_H II
کرچکے 1.0	K I R T_SH A K AY
کھولی 1.0	K_H OO L II
کمیشنر 1.0	K A M II SH N A R
سرچ 1.0	S A R T_SH
جوا 1.0	D_ZZ A V AA
جاڑوں 1.0	D_ZZ AA RR OON
لینڈو 1.0	L AE N DD OO
تکٹیک 1.0	T_D A K TT II K
مذاکراتی 1.0	M U Z AA K A R AA T_D II
کرلی 1.0	K U R L II
جود 1.0	D_ZZ UU D_D
پتلے 1.0	P A T_D L AY
بر 1.0	B A R
باآخر 1.0	B AA AA X A R
پسندیدگی 1.0	P A S A N D_D II D_D A G II
جنھیں 1.0	D_ZZ I N AYN
بج 1.0	B A D_ZZ
کرلے 1.0	K U R L AY
سکورکارڈ 1.0	S A K OO R K AA R DD
سیٹلائٹس 1.0	S AE TT L AA I TT S
اتہ 1.0	A T_D T_D AA
ایلمنی 1.0	AE L M A N II
لیسکیور 1.0	L AY S K J OO R
ایکنوساتسات 1.0	AE K N OO S AA T_D I S AA T_D
دانشوری 1.0	D_D AA N I SH V A R II
لبریز 1.0	L I B R II Z
ایکنوآٹھنو 1.0	AE K N OO AA TT_H A N OO
سرے 1.0	S A R R AY
تصاویری 1.0	T_D A S AA V II R II
علمی 1.0	A L M II
پوتن 1.0	P UU T_D A N
سری 1.0	S A R II
نندتا 1.0	N A N D_D A T_D A N
نم 1.0	N A M
میکارتھی 1.0	M II K AA R T_D_H II
رحمتہ 1.0	R A H M A T_D AA
وقوعے 1.0	V A Q UU AY
علیشا 1.0	A L AY SH AA
گردانا 1.0	G A R D_D AA N AA
گولڈا 1.0	G OO L DD AA
چکھا 1.0	T_SH A K_H K_H AA
ایمبیسڈرز 1.0	AE M B AE S A DD A R Z
شامیانے 1.0	SH AA M I J AA N AY
رحمتے 1.0	R A H M A T_D AY
موکلہ 1.0	M U A K K A L L AA
سرح 1.0	S A R H
رنبیر 1.0	R A M B II R
سرا 1.0	S A R AA
پوٹر 1.0	P OO TT A R
بیماریوں 1.0	B AE M AA R II OON
سیانی 1.0	S I J AA N II
لمحہ 1.0	L A M H AA
چکناہٹ 1.0	T_SH I K N AA H A TT
چڑیاگھروں 1.0	T_SH I RR J AA G_H A R OON
مشینوں 1.0	M A SH II N OON
اتر 1.0	U T_D R
عرفات 1.0	I R F AA T_D
سپیکر 1.0	S I P II K A R
مبصر 1.0	M U B A S S A R
صفت 1.0	S I F T_D
سیانے 1.0	S I J AA N AY
جنہھں 1.0	D_ZZ I N H
کرنٹ 1.0	K A R A N TT
رشتوں 1.0	R I SH T_D OON
تمیز 1.0	T_D A M II Z
ہارمنی 1.0	H AA R M A N II
ویلکم 1.0	V AE L K A M
اتارتا 1.0	U T_D AA R T_D AA
برگزٹ 1.0	B A R G A Z TT
نامہ 1.0	N AA M AA
گاتے 1.0	G AA T_D AY
سماعت 1.0	S A M AA A T_D
پتلو 1.0	P A T_D L OO
کھولا 1.0	K_H OO L AA
بک 1.0	B U K
یروشلیم 1.0	J A R OO SH A L II M
کوئنٹن 1.0	K UU I N TT A N
ایمبولینسز 1.0	AE M B OO L AE N S I Z
اتل 1.0	A T_D L
وائرنگ 1.0	V AA I R I NG
توپ 1.0	T_D OO P
پوتے 1.0	P OO T_D AY
ڈزنی 1.0	DD I Z N II
بےتاب 1.0	B AY T_D AY B AA B
رنگون 1.0	R A NG G UU N
وارداتوں 1.0	V AA R D_D AA T_D OON
غیرموثر 1.0	7 AE R M U V A S S A R
ڈاول 1.0	DD AA V A L
جعمہ 1.0	D_ZZ U M AA
پہنائے 1.0	P A_E_H H N AA AY
بچ 1.0	B A T_SH
بلنگ 1.0	B A L I NG
میمونہ 1.0	M AE M UU N AA
برتے 1.0	B A R T_D AY
جمائے 1.0	D_ZZ A M AA AY
حیسکو 1.0	H AE S K OO
گان 1.0	G AA N
معنوں 1.0	M U A N OON
بھدا 1.0	B_H A D_D D_D AA
رکیک 1.0	R A K K II K
جمائی 1.0	D_ZZ A M AA II
کھاؤ 1.0	K_H AA OO
برتی 1.0	B A R T_D II
جھونکنے 1.0	D_ZZ_H OO N K N AY
ہیمسٹرنگ 1.0	H AE M S TT A R I NG
سفارتکاری 1.0	S I F AA R A T_D K AA R II
نادان 1.0	N AA D_D AA N
کشمیر 1.0	K A SH M II R
ابریسٹویتھ 1.0	A B R AE S TT II J I T_D_H
ترپنچار 1.0	T_D I R P A N T_SH AA R
تے 1.0	T_D AY
تی 1.0	T_D II
ڈل 1.0	DD A L
بلاگر 1.0	B A L AA G A R
گلوزاور 1.0	G A L OO Z AA V A R
الشفا 1.0	A L SH I F AA
بیثھ 1.0	B II S
مذاقا 1.0	M A Z AA Q A N
دیپ 1.0	D_D II P
پھوڑے 1.0	P_H UU RR AY
جمایا 1.0	D_ZZ A M AA J AA
ساتچار 1.0	S AA T_D T_SH AA R
ایمبیسیڈرز 1.0	AE M B AE S II DD A R Z
ہیلیئم 1.0	H AE L II A M
لاروف 1.0	L AA R UU F
کارگو 1.0	K AA R G UU
تگ 1.0	T_D A G
کمپیوٹر 1.0	K A M P I J UU TT A R
کارچوبی 1.0	K AA R T_SH UU B II
عبداللہ 1.0	A B D_D U L L AA
کیوںکہ 1.0	K I J UU K
چیزین 1.0	T_SH II Z II N
شیفس 1.0	SH AE F S
عمرفاروق 1.0	U M R I F AA R UU Q
برتھ 1.0	B A R T_D_H
پتھریلے 1.0	P A T_D_H R II L AY
دید 1.0	D_D II D_D
دیس 1.0	D_D AY S
مقاصد 1.0	M A Q AA S I D_D
ضمانت 1.0	Z A M AA N A T_D
کھوسو 1.0	K_H OO S OO
خاکستر 1.0	X AA K I S T_D A R
نوربٹ 1.0	N O R B A TT
پٹی 1.0	P A TT II
سنگلز 1.0	S I NG G A L Z
حمافت 1.0	H A M AA F A T_D
اکھیلا 1.0	A K_H AY L AA
دیہات 1.0	D_D AY H AA T_D
الائنس 1.0	A L AA I N S
نچڑ 1.0	N I T_SH A RR
ٹریبیون 1.0	TT A R AY B II J UU N
قحطانی 1.0	Q U H T_D AA N II
قانونی 1.0	Q AA N UU N II
مادری 1.0	M AA D_D A R II
عمرانیات 1.0	U M R AA N II J AA T_D
پٹے 1.0	P A TT AY
کثیرالمذہب 1.0	K A S II R U L M A Z H A B
ڈائسیکشن 1.0	DD AA I S AE K SH A N
تاشوں 1.0	T_D AA SH OON
بےنقاب 1.0	B AY N I Q AA B
چورانوےسات 1.0	T_SH O R AA N V AY S AA T_D
لنگایت 1.0	L A NG G AA J A T_D
کوبچانے 1.0	K OO B T_SH AA N AY
آدھار 1.0	AA D_D_H AA R
کائناتی 1.0	K AA I N AA T_D II
دوطرفہ 1.0	D_D O T_D R A F AA
سوئٹزرلینڈ 1.0	S UU I TT A Z A R L AE N DD
مچلتے 1.0	M A T_SH A L T_D AY
تل 1.0	T_D A L
دامودر 1.0	D_D AA M UU D_D A R
تاہا 1.0	T_D AA H AA
وھلیر 1.0	V A L J A R
میگھواڑ 1.0	M AY G_H V AA RR
ناحق 1.0	N AA H I Q
اسکیمیں 1.0	I S K II M AYN
بدنظمی 1.0	B A D_D N A Z M II
تر 1.0	T_D A R
شلم 1.0	SH A L A M
پیچیدگی 1.0	P AY T_SH II D_D G II
تب 1.0	T_D A B
کھانا 1.0	K_H AA N AA
گلیاں 1.0	G U L L I J AAN
تا 1.0	T_D AA
دوصفرصفردو 1.0	D_D O D_D A F A R AY S F A R D_D OO
متالی 1.0	M A T_D AA L II
تاہم 1.0	T_D AA H A M
سٹاف 1.0	S A TT AA F
مسلکی 1.0	M A S L A K II
سجائی 1.0	S A D_ZZ AA II
اولمپکس 1.0	OO L A M P I K S
سرپنچوں 1.0	S A R P A N T_SH OON
جلاٹو 1.0	D_ZZ A L AA TT OO
روایتی 1.0	R A V AA II T_D II
بجائی 1.0	B A D_ZZ AA II
دیگ 1.0	D_D AY G
برتا 1.0	B A R T_D AA
نیوریارک 1.0	N I J UU R J AA R K
کھوسہ 1.0	K_H OO S AA
ہائیڈل 1.0	H AA II DD A L
پورٹلز 1.0	P OO R TT A L Z
کاشی 1.0	K AA SH II
جبرا 1.0	D_ZZ A B R AA
سٹال 1.0	S A TT AA L
نقطے 1.0	N U Q T_D AY
ڈیموکریٹک 1.0	DD AE M OO K A R AE TT I K
الھذلول 1.0	A L A Z L UU L
اہلکاروں 1.0	A H A L K AA R OON
فلسفی 1.0	F A L S A F II
تکنینی 1.0	T_D A K N II N II
میگزن 1.0	M AE G Z A N
پکڑنا 1.0	P A K A RR N AA
قیدی 1.0	Q AE D_D II
فلسفہ 1.0	F A L S A F AA
گائے 1.0	G AA AY
عارضہ 1.0	AA R I Z AA
میلنڈا 1.0	M AE L A N DD AA
الیگزینڈرا 1.0	A L II G A Z AE N DD R AA
جرمن 1.0	D_ZZ A R M A N
ختنے 1.0	X A T_D N AY
انکرپٹ 1.0	I N K A R P A TT
پیدل 1.0	P AE D_D A L
اورایکساتچھ 1.0	OO R AA J A S AA T_D I T_SH
لےکر 1.0	L AY K A R
نتن 1.0	N A T_D A N
ناطے 1.0	N AA T_D AY
زندگیوں 1.0	Z I N D_D A G II OON
پاورز 1.0	P AA V A R Z
عطیے 1.0	A T_D II AY
پنکی 1.0	P A N K II
کیوٹو 1.0	K I J UU TT UU
اورآج 1.0	O R AA D_ZZ
چینج 1.0	T_SH II N D_ZZ
ناطہ 1.0	N AA T_D AA
فڈریشن 1.0	F I DD R AY SH A N
راساں 1.0	R AA S AAN
الزائمر 1.0	A L Z AA I M A R
اپیل 1.0	A P II L
طلاق 1.0	T_D A L L AA Q
مشیگن 1.0	M A SH II G A N
طلال 1.0	T_D A L AA L
اومابا 1.0	OO M AA B AA
باردوی 1.0	B AA R D_D A V II
چینل 1.0	T_SH AE N A L
منڈل 1.0	M A N DD A L
بچائے 1.0	B A T_SH AA AY
مایہ 1.0	M AA J AA
سونیا 1.0	S OO N I J AA
واضع 1.0	V AA Z AY
کرپٹ 1.0	K I R I P TT
ٹکور 1.0	TT A K OO R
گمراہ 1.0	G U M R AA
فائنگ 1.0	F AA I NG
چنار 1.0	T_SH A N AA R
اون 1.0	UU N
بریانی 1.0	B A R J AA N II
پیڈو 1.0	P AY DD OO
چناؤ 1.0	T_SH U N AA OO
کپاڈیہ 1.0	K A P AA DD I J AA
اندھا 1.0	A N D_D_H AA
حسب 1.0	H A S A B
سطر 1.0	S A T_D R
راجدیپ 1.0	R AA D_ZZ D_D AY P
رفاقت 1.0	R A F AA Q A T_D
بےقابو 1.0	B AY Q AA B UU
قحبہ 1.0	Q A H B AA
کرنوں 1.0	K U R N OON
چارپانچصفر 1.0	T_SH AA R P AA N T_SH A S F A R
لومڑیوں 1.0	L OO M RR II OON
فروری 1.0	F A R V A R II
فائنل 1.0	F AA I N A L
ماؤنٹ 1.0	M AA UU N TT
سعی 1.0	S A II
ایمانداری 1.0	II M AA N D_D AA R II
آزمانا 1.0	AA Z M AA N AA
ڈیموکریٹس 1.0	DD AE M OO K A R AY TT S
بکھرنے 1.0	B I K_H A R N AY
جذباتی 1.0	D_ZZ A Z B AA T_D II
اندھی 1.0	A N D_D_H II
ٹیک 1.0	TT II K
پہلوؤں 1.0	P A_E_H H L UU OON
یونان 1.0	J UU N AA N
بوز 1.0	B O Z
بور 1.0	B O R
زمام 1.0	Z U M AA M
بیانیوں 1.0	B I J AA N II OON
اتھانوے 1.0	A T_D_H AA N V AY
نوپانچ 1.0	N OO P AA N T_SH
جڑنا 1.0	D_ZZ A RR N AA
سولجرز 1.0	S OO L D_ZZ A R Z
ازیں 1.0	A Z IIN
امریکیوں 1.0	A M R II K II OON
منگوایا 1.0	M A NG V AA J AA
ابراہم 1.0	I B R AA H A M
مایا 1.0	M AA J AA
بابری 1.0	B AA B A R II
پڑجاتا 1.0	P A RR D_ZZ AA T_D AA
چھتیسدوایک 1.0	T_SH A S T_D II S D_D OO II K
بلوے 1.0	B A L V AY
ٹیچرز 1.0	TT II T_SH A R Z
نارنگیاں 1.0	N AA R A NG G I J AAN
بون 1.0	B OO N
ہلال 1.0	H A L L AA L
بول 1.0	B OO L
ترسیلی 1.0	T_D A R S II L II
چڑھاؤ 1.0	T_SH A RR_H AA OO
دوصفرویں 1.0	D_D O S A F R A V AYN
تبیس 1.0	T_D A B II S
ہندتوا 1.0	H I N D_D A T_D V AA
ایکچھآٹھ 1.0	AE K T_SH AA TT_H
القاعدہ 1.0	A L Q AA I D_D AA
روکتی 1.0	R OO K T_D II
بوٹ 1.0	B OO TT
جمے 1.0	D_ZZ A M AY
وصول 1.0	V U S UU L
دوربینیں 1.0	D_D UU R B II N AYN
ننگرپارکر 1.0	N A NG G A R P AA R K A R
جیدوصفر 1.0	D_ZZ II D_D OO S A F A R
شاباش 1.0	SH AA B AA SH
لاؤرا 1.0	L AA OO R AA
بابل 1.0	B AA B A L
رائیڈر 1.0	R AA II DD A R
ایکشن 1.0	AE K SH A N
ایکنوآٹھسات 1.0	AE K N OO AA TT_H S AA T_D
ڈوبا 1.0	DD UU B AA
یکاٹرنبرگ 1.0	J AA TT A R N A B A R G
وزیرا 1.0	V A Z II R AA
انتظام 1.0	I N T_D I Z AA M
غمگین 1.0	7 A M G II N
چالیسویں 1.0	T_SH AA L II S V AYN
نواں 1.0	N A V AAN
ہارستہ 1.0	H AA R S A T_D AA
تیغ 1.0	T_D II 7
موجو 1.0	M O D_ZZ UU
خواہشات 1.0	X AA H I SH AA T_D
ندامت 1.0	N A D_D D_D AA M A T_D
پرواز 1.0	P A R V AA Z
ملنی 1.0	M I L N II
الاقوامی 1.0	A L AA Q V AA M II
مائع 1.0	M AA AY
بیوقوفانہ 1.0	B AY V A Q UU F AA N AA
سےسری 1.0	S AY S R II
ادیب 1.0	A D_D II B
ویلادیمر 1.0	V II L AA D_D AY M A R
اختلاف 1.0	I X T_D I L AA F
جمرود 1.0	D_ZZ A M R UU D_D
طرفہ 1.0	T_D A R F AA
کرناٹک 1.0	K A R N AA TT I K
گڑھی 1.0	G A RR_H II
نظریاتی 1.0	N A Z A R J AA T_D II
چیونگ 1.0	T_SH I J UU NG
نکالو 1.0	N I K AA L OO
دوما 1.0	D_D OO M AA
تمہید 1.0	T_D A M H II D_D
تنکا 1.0	T_D A N K AA
کےمفادات 1.0	K AY AY M F AA D_D AA T_D
ٹرانسپورٹ 1.0	TT A R AA N S P OO R TT
کیمپوں 1.0	K AE M P OON
کلسٹر 1.0	K A L A S TT A R
ایکتیس 1.0	AY K T_D II S
پیدائشی 1.0	P AE D_D AA I SH II
مائل 1.0	M AA I L
کریک 1.0	K U R AE K
بیہودی 1.0	B AY H UU D_D II
کریگ 1.0	K A R AE G
سنہدوصفرایکدو 1.0	S A N H A H F A F A R AA K A D_D D_D OO
چھیاسی 1.0	T_SH I J AA S II
القدوس 1.0	A L Q A D_D UU S
گھٹیا 1.0	G_H A TT J AA
چبوا 1.0	T_SH A B V AA
کوٹلہ 1.0	K OO TT L AA
بیرنگ 1.0	B AE R I NG
بیانات 1.0	B I J AA N AA T_D
ٹویٹرز 1.0	TT U V AE TT A R Z
ٹاپ 1.0	TT AA P
سمیرہ 1.0	S A M II R AA
چھیانوےآٹھ 1.0	T_SH I J AA N V AY AA TT_H
وارڈنز 1.0	V AA R DD A N Z
سپرنگ 1.0	S A P R I NG
پچاسوں 1.0	P A T_SH T_SH AA S OON
یقینیوں 1.0	J A Q II N II OON
پائیس 1.0	P AA II S
انتظار 1.0	I N T_D I Z AA R
تھمایا 1.0	T_D_H A M AA J AA
ڈرائیو 1.0	DD A R AA II V
کےلیےایک 1.0	K AY L AY J AA K
شوپیان 1.0	SH OO P I J AA N
ٹیڈیز 1.0	TT AE DD II Z
سکیورٹی 1.0	S I K J OO R TT II
